ID,dataset,Video,Reaction_Time,Response
10541434,videoSet2,norm_10788.gif,7264.58,opening milk
10520619,videoSet2,norm_10788.gif,98605.5,open bottle
10541329,videoSet2,norm_10788.gif,9542.79999985686,opening lid
10520716,videoSet2,norm_10788.gif,8590,opening milk
10520798,videoSet2,norm_10788.gif,15851.76,popping container lid
10513235,videoSet2,norm_10788.gif,8813.9,opening milk
10520672,videoSet2,norm_10788.gif,9611.2,pulling pullman
10541324,videoSet2,norm_10788.gif,11600.6,opening bottle
10519265,videoSet2,norm_10788.gif,9163.80000000005,opening milk
10541339,videoSet2,norm_10788.gif,7243.24,open milk
10520715,videoSet2,norm_10788.gif,12301.199999994,open bottle
10550461,videoSet2,norm_10788.gif,12684.2999999523,opening bottle
10553254,videoSet2,norm_10788.gif,11070.54,open milk
10519263,videoSet2,norm_10788.gif,13316,removing seal
10519343,videoSet2,norm_10788.gif,12050.4,opening milk bottle
10520620,videoSet2,norm_10788.gif,7479.1,opening milk
10507262,videoSet2,norm_10788.gif,15319.2,opening milk bottle
10513263,videoSet2,norm_10788.gif,83715.9,removing tamper lid
10519804,videoSet2,norm_10788.gif,19453.7,open bottle
10513248,videoSet2,norm_10788.gif,15969.7,opening milk bottle
10520999,videoSet2,norm_10788.gif,12189.1,peeling film
10520712,videoSet2,norm_10788.gif,46333.4,removing seal
10541494,videoSet2,norm_10788.gif,18698.9,opening bottle seal
10513246,videoSet2,norm_10788.gif,15755.7,taking off cap
10520632,videoSet2,norm_10788.gif,10944,opening milk tab
10538104,videoSet2,norm_10788.gif,13147.9,opening milk bottle
10521057,videoSet2,norm_10788.gif,12426.7,add to bowl
10523393,videoSet2,norm_10788.gif,47470.8,opening yoghurt
10550892,videoSet2,norm_10788.gif,12068.4999999985,opens milk
10553459,videoSet2,norm_10788.gif,9193.69999999925,opening milk
10507365,videoSet2,norm_10788.gif,8653.26,opening milk
10519423,videoSet2,norm_10788.gif,13280.6,open lid
10536801,videoSet2,norm_10788.gif,128577,opening milk
10513239,videoSet2,norm_10788.gif,7342.5,open lid
10513249,videoSet2,norm_10788.gif,18803.6,opening milk
10513254,videoSet2,norm_10788.gif,8293.6,opening milk
10520671,videoSet2,norm_10788.gif,12425.16,opening milk
